ID	VC	text	id	sentiment
75		原來告示牌也是cosplay的，車子光天化日開進去	75	ironic
112		那為何還要先鋪個爛地 等到之後再處理爛攤子重新鋪路	112	no
84		就挾著根本很難用社宅處理的族群來打社宅，我是不懂這樣	84	no
60	willy	很快人均就要4萬鎂惹 好興奮!!!	60	ironic
106	123	選到我贏為止，這個還挺民主的	106	ironic
105	123	什麼是女生啊？新的手遊嗎？	105	ironic
116	xh	這些員工超幸福！公司提供靈魂洗滌假、全薪運動假	116	no
89	yf	你那奧斯卡最佳影片來跟國片比，未免太羞辱奧斯卡了吧！	89	ironic
72	maochang	八卦版鄉民-1	72	ironic
82	ben	阿北務實 阿北政績+1	82	ironic
62		年輕人生 老年人死 才能新陳代謝 維持整體族群健康	62	no
34	andrea	現在拿雙系統也很平常了，還在分哪邊好，跟統獨一樣白癡	34	no
86	am	接近後輸入指令：→↓↘ + 重拳  這樣就可以了	86	no
98	123	有黨證就算中產階級了，國家錢隨便賺	98	ironic
13	andrea	到現在都還沒人回 好邊緣	13	no
36		萊豬香噴噴	36	ironic
10	ariel	你長得很安全	10	ironic
15	yenchen	現在放棄，學期就結束囉～	15	ironic
59	willy	看看那精美的iphone價格	59	ironic
42	maochang	三寶又調皮了	42	ironic
38	andrea	有些人講話還真是不尊重專業阿：）	38	ironic
117	xh	薪水連垃圾袋都買不起嗎？哪你們要先離職才對...	117	no
102	123	注意！政府9月幫你虧了897億	102	ironic
115	xh	當老婆不用一堆內心戲 紀念日到了大家互相提早提醒	115	no
49	ariel	 睡吧，夢裡什麼都有	49	ironic
65	amy	啊妳們知道現在幾點嗎？？？？	65	no
73	maochang	這我一定吉	73	no
123	xh	想看陳時中示範室內游泳池戴法	123	ironic
113		如果遇到好老闆 或好機緣 創造足夠的被動收入 才可能突破到下一個階段	113	no
85	ariel	現在記者真有水準	85	ironic
91	yenchen	疫情影響啦。請充值台灣價值	91	ironic
7		我覺得世界上就只有兩種人能吸引人，一種是特別漂亮的一種就是你這樣的。	7	ironic
33	willy	萊豬檢驗問對岸最清楚，快篩試劑淘寶早就有賣	33	ironic
80	willy	有台灣價值就是熱心民眾 沒有就是檢舉魔人 懂?	80	ironic
118	xh	我妹當工程師月入才7萬而已	118	ironic
