w1	w1_freq	n
覺得	2740	172
覺得	2740	150
覺得	2740	134
覺得	2740	107
覺得	2740	67
覺得	2740	63
覺得	2740	58
覺得	2740	53
覺得	2740	45
覺得	2740	36
覺得	2740	34
覺得	2740	33
覺得	2740	31
覺得	2740	31
覺得	2740	30
覺得	2740	29
覺得	2740	25
覺得	2740	21
覺得	2740	19
覺得	2740	18
覺得	2740	14
覺得	2740	13
覺得	2740	13
覺得	2740	13
覺得	2740	12
覺得	2740	12
覺得	2740	12
覺得	2740	12
覺得	2740	12
覺得	2740	12
覺得	2740	12
覺得	2740	11
覺得	2740	11
覺得	2740	11
覺得	2740	10
覺得	2740	10
覺得	2740	10
覺得	2740	10
覺得	2740	10
覺得	2740	9
覺得	2740	9
覺得	2740	9
覺得	2740	9
覺得	2740	9
覺得	2740	9
覺得	2740	9
覺得	2740	8
覺得	2740	8
覺得	2740	8
覺得	2740	8
覺得	2740	7
覺得	2740	7
覺得	2740	7
覺得	2740	7
覺得	2740	7
覺得	2740	7
覺得	2740	6
覺得	2740	6
覺得	2740	6
覺得	2740	6
覺得	2740	6
覺得	2740	6
覺得	2740	6
覺得	2740	6
覺得	2740	6
覺得	2740	6
覺得	2740	6
覺得	2740	6
覺得	2740	6
覺得	2740	6
覺得	2740	6
覺得	2740	6
覺得	2740	6
覺得	2740	6
覺得	2740	6
覺得	2740	6
覺得	2740	6
覺得	2740	6
覺得	2740	5
覺得	2740	5
覺得	2740	5
覺得	2740	5
覺得	2740	5
覺得	2740	5
覺得	2740	5
覺得	2740	5
覺得	2740	5
覺得	2740	5
覺得	2740	5
覺得	2740	5
覺得	2740	5
覺得	2740	5
覺得	2740	5
覺得	2740	5
覺得	2740	5
覺得	2740	5
覺得	2740	5
覺得	2740	5
覺得	2740	5
覺得	2740	5
覺得	2740	5
覺得	2740	5
覺得	2740	4
覺得	2740	4
覺得	2740	4
覺得	2740	4
覺得	2740	4
覺得	2740	4
覺得	2740	4
覺得	2740	4
覺得	2740	4
覺得	2740	4
覺得	2740	4
覺得	2740	4
覺得	2740	4
覺得	2740	4
覺得	2740	4
覺得	2740	4
覺得	2740	4
覺得	2740	4
覺得	2740	4
覺得	2740	4
覺得	2740	4
覺得	2740	4
覺得	2740	4
覺得	2740	3
覺得	2740	3
覺得	2740	3
覺得	2740	3
覺得	2740	3
覺得	2740	3
覺得	2740	3
覺得	2740	3
覺得	2740	3
覺得	2740	3
覺得	2740	3
覺得	2740	3
覺得	2740	3
覺得	2740	3
覺得	2740	3
覺得	2740	3
覺得	2740	3
覺得	2740	3
覺得	2740	3
覺得	2740	3
覺得	2740	3
覺得	2740	3
覺得	2740	3
覺得	2740	3
覺得	2740	3
覺得	2740	3
覺得	2740	3
覺得	2740	3
覺得	2740	3
覺得	2740	3
覺得	2740	3
覺得	2740	3
覺得	2740	3
覺得	2740	3
覺得	2740	3
覺得	2740	3
覺得	2740	3
覺得	2740	3
覺得	2740	3
覺得	2740	3
覺得	2740	3
覺得	2740	3
覺得	2740	3
覺得	2740	3
覺得	2740	3
覺得	2740	3
覺得	2740	3
覺得	2740	3
覺得	2740	3
覺得	2740	3
覺得	2740	3
覺得	2740	2
覺得	2740	2
覺得	2740	2
覺得	2740	2
覺得	2740	2
覺得	2740	2
覺得	2740	2
覺得	2740	2
覺得	2740	2
覺得	2740	2
覺得	2740	2
覺得	2740	2
覺得	2740	2
覺得	2740	2
覺得	2740	2
覺得	2740	2
覺得	2740	2
覺得	2740	2
覺得	2740	2
覺得	2740	2
覺得	2740	2
