|---------------------------------------------------------------------|
| This output is provided without any warranty on an as-is basis by   |
| Stefan Th. Gries <http://www.linguistics.ucsb.edu/faculty/stgries/> |
| Please cite the program as mentioned in <readme.txt>. Thanks a lot! |
|---------------------------------------------------------------------|

 Wed Dec  9 11:36:59 2020 

word.freq: frequency of the word in the corpus
obs.freq: observed frequency of the word with/in  JUEDE
exp.freq: expected frequency of the word with/in JUEDE
faith: percentage of how many instances of the word occur with/in JUEDE
relation: relation of the word to JUEDE
delta.p.constr.to.word: delta p: how much does the word/construction help guess the word?
delta.p.constr.to.word: delta p: how much does the construction help guess the word/construction?
coll.strength: index of collocational/collostructional strength: -log10 (Fisher-Yates exact, one-tailed), the higher, the stronger

words	word.freq	obs.freq	exp.freq	relation	faith	delta.p.constr.to.word	delta.p.word.to.constr	coll.strength
自己	4577	172	16.09	attraction	0.04	0.06	0.03	113.96
很	4649	134	16.34	attraction	0.03	0.04	0.03	74.57
你	8806	107	30.95	attraction	0.01	0.03	0.01	26.51
有點	512	30	1.8	attraction	0.06	0.01	0.06	25.92
我	17041	150	59.9	attraction	0.01	0.03	0.01	22.73
這樣	1877	45	6.6	attraction	0.02	0.01	0.02	22.29
太快嗎	6	6	0.02	attraction	1	0	1	14.73
無所謂	37	9	0.13	attraction	0.24	0	0.24	14.04
這	1489	31	5.23	attraction	0.02	0.01	0.02	13.98
他	6422	67	22.57	attraction	0.01	0.02	0.01	13.73
好笑	55	9	0.19	attraction	0.16	0	0.16	12.35
不宜	5	5	0.02	attraction	1	0	1	12.27
累	89	10	0.31	attraction	0.11	0	0.11	11.95
很怪	12	6	0.04	attraction	0.5	0	0.5	11.77
苦惱	12	6	0.04	attraction	0.5	0	0.5	11.77
她	5796	58	20.37	attraction	0.01	0.01	0.01	11.28
滿	107	10	0.38	attraction	0.09	0	0.09	11.14
麻煩	77	9	0.27	attraction	0.12	0	0.11	10.98
被	2007	31	7.05	attraction	0.02	0.01	0.01	10.68
