w1	w1_freq	n
不	5644	48
聽	299	30
加	86	22
相處	423	19
想	2442	15
一	627	12
了	8632	8
說	4448	8
比	448	7
哭	181	7
獨立	79	7
好	2697	6
太	488	5
打	335	5
相對	101	5
實行	8	5
大聲	18	4
火	11	4
硬	54	4
也	7303	3
穿	102	3
這聽	3	3
睡一覺	4	3
燒	3	3
懷疑	98	3
人家	307	2
牙	3	2
存	40	2
忙	127	2
早點	33	2
坐	48	2
相較	14	2
站	93	2
做	1135	2
理性	77	2
累積	28	2
痛苦	123	2
潮濕味合	2	2
講	274	2
韓比	2	2
藏	7	2
關	11	2
讀	54	2
一多	1	1
一早	5	1
才	1462	1
不想	530	1
文明	4	1
比較	973	1
半夜	54	1
打理	13	1
再	929	1
吃	720	1
收	40	1
早上	55	1
你	8806	1
你關	1	1
快牙	1	1
我記	2	1
抑鬱	2	1
兩人加	1	1
抬	4	1
抱	41	1
拉	67	1
拍	70	1
武裝	1	1
的	32632	1
拴	1	1
洞補	1	1
相比	7	1
省	29	1
穿戴整齊	1	1
剛想	1	1
拿	337	1
留	23	1
疼痛	3	1
討論	376	1
記	6	1
記得	104	1
酒就親	1	1
動身	1	1
執行	19	1
堅強	21	1
推	366	1
晚餐	75	1
聊天	522	1
都連	1	1
雀躍	2	1
麻煩	77	1
就	6598	1
就存	1	1
等	509	1
量	19	1
幹話講	1	1
感覺	754	1
搓	3	1
搭	73	1
裡跳	1	1
隔天	62	1
預備	8	1
算	189	1
精實	2	1
認真	220	1
認識	740	1
說明	51	1
說話	130	1
標	6	1
熱絡	38	1
學不	1	1
隨和	9	1
應對	12	1
曖昧	198	1
總結	34	1
豐腴	1	1
轉動	2	1
